category_path,product_count,avg_base_price,products_with_images,products_with_videos,sample_tags
Home & Living > Bedding & Linen,16,920.12,16,4,"living, bedding, linen, bedsheet, curtain, luxury, 3-piece, frill, patchwork, double"
Travel & Outdoor > Fitness Gear,16,872.88,16,2,"travel, outdoor, fitness gear, resistance, workout, adjustable, hand, gripper, strengthener, wrist"
Cleaning & Organization > Storage Boxes & Organizers,15,1832.0,15,7,"cleaning, organization, storage boxes, organizers, storage, organizer, clothes, silicone case, silicon, remote"
Electronics & Appliances > Home Appliances > Refrigerators (Single Door),14,464.36,14,0,"home appliances, refrigerators (single door), door, safety, lock, child, refrigerator, freezer, double, button"
Home & Living > Cleaning & Organization > Dustbins & Trash Cans,14,3809.0,14,0,"living, cleaning, organization, dustbins, trash cans, royal, trash, space, garbage, pedal"
Fashion & Apparel > Men's Fashion > Shalwar Kameez (Formal),13,2423.38,13,1,"men's fashion, shalwar kameez (formal), finest, silk, fancy, gown, stitched, shirt, trouser, beautifully"
Groceries > Baking and Cooking,13,775.92,13,0,"groceries, baking and cooking, clean, natural, seeds, pure, nutrient-rich, superfood, pizza, platter"
Home & Living > Kitchen & Dining > Water Dispensers & Filters,13,1154.15,13,10,"living, dining, water dispensers, filters, bottle, dispenser, automatic, electric, nozzle, pump"
Health & Beauty > Beauty & Cosmetics > Lip Products (Gloss),12,1096.0,12,5,"cosmetics, lip products (gloss), glossy, lipgloss, shine, hydrating, cute, moisturizing, formula, finish"
Health & Beauty > Skincare > Sunscreens & Masks,12,1382.33,12,5,"skincare, sunscreens, masks, mask, collagen, moisturizing, face, protection, brightening, professional"
Home & Living > Home Decor > Vases & Indoor Plants,12,1064.83,12,3,"living, home decor, vases, indoor plants, summer, play, handheld, cute, cartoon, safe"
Automotive > Vehicle Cleaning Supplies > Car Shampoo,11,537.36,11,11,"vehicle cleaning supplies, car shampoo, three, guys, german, formula, dashboard, leather, tyre, 450ml"
Home & Living > Furniture > Kids Furniture,11,734.64,11,4,"living, furniture, kids furniture, natural, wood, beewax, beeswax, seasoning, complete, solution"
Baby & Kids Accessories,10,466.1,10,0,"kids accessories, drawing, about, craft, colorful, painting, refill, copybooks, magic, copy"
Health & Beauty > Beauty & Cosmetics > Face Makeup (Blush),10,631.4,10,0,"cosmetics, face makeup (blush), radiant, blush, glow, liquid, natural, iconic, london, illuminator"
Health & Wellness > Fitness Equipment,10,1366.8,10,8,"wellness, fitness equipment, trainer, adjustable, core, massager, fitness, workout, double, resistance"
Home & Living > Bedding & Linen > Pillows & Cushions,10,600.5,10,2,"living, bedding, linen, pillows, cushions, bike, dustproof, dust, proof, universal"
Men's Fashion > Sunglasses & Watches,10,742.2,10,9,"men's fashion, sunglasses, watches, women's, aura, watch, providing, appearance, wear, offering"
Toys & Games > Indoor Games,10,1195.4,10,5,"games, indoor games, game, pokemon, cards, trading, gold, black, silver, options"
Women's Fashion > Hijabs & Scarves (Chiffon),10,641.6,10,2,"women's fashion, hijabs, scarves (chiffon), fabric, wear, chiffon, embroidery, niqab, formal, saudi"
Automotive > Oils & Lubricants,9,568.0,9,9,"oils, lubricants, three, guys, grade, german, engineered, radiator, coolant, brake"
Events & Gifting > Wedding Favors & Decor,9,679.89,9,2,"events, gifting, wedding favors, party, birthday, birthdays, crystal, ball, moon, night"
Home & Living > Furniture,9,763.11,9,4,"living, furniture, universal, 4pcs, protection, high-quality, table, corner, edge, child"
Tools & DIY > Gardening Tools,9,1154.11,9,3,"diy, gardening tools, magic, hose, pipe, tangle, reliable, descriptionhigh-quality, producttwist, kink-freeextremely"
Toys & Games > Outdoor & Sports Toys,9,1757.67,9,6,"games, outdoor, sports toys, play, summer, indoor, prank, truck, realistic, tennis"
Books & Stationery,8,330.25,8,5,"books, stationery, magic, book, learning, tracing, reusable, keychain, cartoon, cute"
Health & Beauty > Personal Care > Feminine Hygiene (Cups),8,639.25,8,0,"personal care, feminine hygiene (cups), disposable, drinking, glasses, cups, transparent, 180ml, plasticthese, come"
Home & Living > Bedding & Linen > Mattress Protectors,8,1331.5,8,3,"living, bedding, linen, mattress protectors, outdoor, unit, heat, dust, protector, insulation"
Mobile & Accessories > Earphones & Bluetooth Devices,8,1611.88,8,3,"mobile, earphones, bluetooth devices, earbuds, bluetooth, sound, display, built-in, clear, deliver"
Automotive,7,1917.29,7,6,"cars, universal, strong, interior, exterior, vehicle, pedal, lock, anti, theft"
Books & Stationery > Diaries & Journals,7,1128.0,7,3,"books, stationery, diaries, journals, book, stickers, scratch, note, sketch, reusable"
Gadgets > Smart Watches,7,2553.86,7,1,"gadgets, smart watches, watch, skmei, digital, sports, men's, display, multiple, time"
Health & Beauty > Beauty & Cosmetics > Eye Makeup (Eyeliner),7,499.14,7,3,"cosmetics, eye makeup (eyeliner), makeup, lasting, belenda, eyebrow, liquid, brow, definer, formula"
Toys & Games > Educational & Creative > DIY Project Kits,7,1006.14,7,4,"games, educational, creative, diy project kits, learning, outdoor, board, book, preschool, talking"
Fashion & Apparel > Women's Fashion > Shalwar Kameez Sets (Unstitched),6,4469.33,6,0,"women's fashion, shalwar kameez sets (unstitched), lawn, chiffon, dupatta, unstitched, suit, embroidered, summer, luxury"
Home & Living > Home Decor > Candles & Diffusers,6,660.0,6,3,"living, home decor, candles, diffusers, light, musical, cake, flame, extra, burning"
Islamic & Cultural > Islamic Essentials,6,607.33,6,4,"islamic, cultural, islamic essentials, wooden, space, umrah, saving, money, goal, savings"
Kitchen & Dining > Water Dispensers & Filters,6,511.33,6,5,"dining, water dispensers, filters, bottle, dispenser, drinking, straw, stanley, reusable, cute"
Men's Fashion > T-Shirts & Polos,6,789.0,6,0,"men's fashion, t-shirts, polos, t-shirt, wash, fabric, men's, offers, all-day, fade-resistant"
Toys & Games,6,1937.83,6,4,"games, play, imagination, drawing, creative, space, infrared, induction, helicopter, intelligent"
Electronics & Appliances > Computers & Laptops,5,2254.4,5,4,"computers, laptops, mouse, keyboard, gaming, laptop, surface, texture, base, offer"
Fashion & Apparel > Kids & Baby Wear > Baby Booties & Sandals,5,735.6,5,1,"baby wear, baby booties, sandals, strap, carrier, safety, ergonomic, shoulder, labor-saving, polyester"
Fashion & Apparel > Women's Fashion > Shalwar Kameez Sets (Pret),5,3007.0,5,5,"women's fashion, shalwar kameez sets (pret), batool, 2-piece, stitched, winter, suit, black, cutwork, embroidered"
Kitchen & Dining > Dinnerware,5,3294.0,5,5,"dining, dinnerware, shanu, french, crispy, crunchy, snack, bold, flavor, 1ctn"
Pets & Animals > Pet Food,5,993.0,5,0,"pets, animals, pet food, laban, infant, milk, formula, stage, powder, healthy"
Women's Fashion > Hair Accessories,5,909.4,5,2,"women's fashion, hair accessories, hair, styling, remover, pain, finishing, touch, 14pcs, multicolor"
Women's Fashion > Nightwear & Robes,5,2165.0,5,0,"women's fashion, nightwear, robes, nightwear set, silk, lace, satin, camisole, shorts, sleepwear"
Health & Beauty > Beauty & Cosmetics > Lip Products (Balm),4,272.5,4,2,"cosmetics, lip products (balm), balm, wiki, natural, pink, hydrating, nourishing, tint, flavored"
Home Appliances > Water Heaters & Geysers,4,1126.5,4,3,"home appliances, water heaters, geysers, electric, heater, heating, instant, fast, immersion, faucet"
Islamic & Cultural > Islamic Essentials > Tasbeeh & Digital Counters,4,285.25,4,2,"islamic, cultural, islamic essentials, tasbeeh, digital counters, digital, finger, counter, tasbih, indicator"
Kitchen & Dining > Kitchen Storage,4,406.75,4,2,"dining, kitchen storage, heat, leak-proof, thumler, tumbler, secure, preventing, spills, maintaining"
Men's Fashion > Jackets & Hoodies,4,1039.0,4,4,"men's fashion, jackets, hoodies, zipper, jacket, french, fleece, fabric, wear, wash"
Plumbing Fixtures > Taps,4,221.25,4,2,"plumbing fixtures, taps, strip, meter, door, window, seal, dustproof, weather, stripping"
Tools & DIY,4,714.5,4,1,"diy, tester, voltmeter, power, detector, electrical, screwdriver, indicator, switch, detection"
Toys & Games > Stuff Toys,4,751.25,4,4,"games, stuff toys, dancing, cactus, talking, singing, plush, interactive, mimic, battery"
Travel & Outdoor > Luggage & Suitcases,4,285.5,4,0,"travel, outdoor, luggage, suitcases, pearl, drop, earrings, dangle, rhinestone, accent"
Automotive > Car Accessories > Air Fresheners,3,1851.0,3,3,"car accessories, air fresheners, solar, powered, aroma, diffuser, helicopter, freshener, dashboard, perfume"
Automotive > Car Accessories > Seat Covers,3,1603.0,3,0,"car accessories, seat covers, universal, neck, seat, pillow, memory, foam, headrest, beige"
Bedding & Linen > Pillows & Cushions,3,559.33,3,2,"bedding, linen, pillows, cushions, pillow, neck, head, cushion, sleeping, homewins"
Cameras & Photography > Lighting & Studio Equipment,3,948.0,3,0,"cameras, photography, lighting, studio equipment, rechargeable, lamp, hurry, bolt, work, light"
Events & Gifting > Seasonal Items,3,538.67,3,3,"events, gifting, seasonal items, pair, knee, winter, warm, thermal, warmer, warmers"
Home & Living > Furniture > Living Room Furniture,3,1477.0,3,0,"living, furniture, living room furniture, sofar, eversible, couch, sofa, coat, protect, hair"
Kids Accessories,3,477.0,3,2,"kids accessories, refrigerator, children's, lock, self-adhesive, safety, freezer, door, one-hand, operation"
Mobile & Accessories > Smartwatches & Fitness Bands,3,1182.0,3,3,"mobile, smartwatches, fitness bands, ladies, watch, mesh, strap, digital, wristwatch, sleek"
Personalized Gifts > Photo Frames,3,465.67,3,2,"personalized gifts, photo frames, wooden, frames, frame, sticky, wall art, phototile, 8x11, inches"
Pets & Animals > Grooming Products,3,1514.33,3,1,"pets, animals, grooming products, grooming, cleaning, daling, rechargeable, professional, clipper, electric"
Tools & DIY > Power Tools,3,1650.0,3,0,"diy, power tools, 46-piece, socket, wrench, complete, ratchet, versatile, repairs, work"
Toys & Games > Outdoor & Sports Toys > Remote Control Cars & Drones,3,4715.33,3,3,"games, outdoor, sports toys, remote control cars, drones, remote, control, construction, heavy, speed"
Beauty & Cosmetics > Nail Care (Tools),2,350.5,2,1,"cosmetics, nail care (tools), nail, serum, fast, fungus, treatment, repair, essence, finger"
Dolls & Action Figures,2,1646.5,2,0,"dolls, action figures, moving, sand, lamp, stand, room, decoration, sandscapes, frame"
Dolls & Action Figures > Dolls & Doll Houses,2,1182.0,2,0,"dolls, action figures, doll houses, labubu, doll, boys, girls, gift, stuff, chain"
Events & Gifting > Gift Wrapping & Boxes,2,213.5,2,1,"events, gifting, gift wrapping, boxes, goody, different, themes, favor, bags, party"
Groceries > Baking and Cooking > Cooking Ingredients,2,374.5,2,0,"groceries, baking and cooking, cooking ingredients, spinzer, himalayan, pink, salt, natural, mineral, rich"
Health & Beauty > Beauty & Cosmetics > Eye Makeup (Mascara),2,361.0,2,0,"cosmetics, eye makeup (mascara), mascara, lashes, definition, fancy, black, liquid, lasting, volume"
Health & Beauty > Personal Care > Bath & Body (Shower Gels),2,1743.0,2,0,"personal care, bath, body (shower gels), yardlie, wash, organic, hydration, skin, coconut, deep"
Health & Beauty > Personal Care > Men's Grooming (Razors),2,529.0,2,2,"personal care, men's grooming (razors), hair, vintage, professional, trimmer, cordless, rechargeable, beard, clipper"
Health & Beauty > Personal Care > Oral Care (Mouthwash),2,514.0,2,1,"personal care, oral care (mouthwash), three-sided, ultra, bristle, toothbrush, gentle, oral, safety, teeth"
Health & Wellness > Herbal & Ayurvedic Products,2,325.5,2,2,"wellness, herbal, ayurvedic products, organic, kalwanji, shampoo, black, seed, hair, cleanser"
Home Decor > Wall Art & Paintings,2,754.0,2,1,"home decor, wall art, paintings, hexagonal, acrylic, mirror, stickers, geometric, sizes, 24-piece"
Islamic & Cultural > Islamic Essentials > Eid & Ramadan Decor,2,886.5,2,2,"islamic, cultural, islamic essentials, eid, ramadan decor, 5pcs, wooden, decorative, display, provide"
Islamic Essentials > Halal Skincare & Perfumes,2,592.0,2,0,"islamic essentials, halal skincare, perfumes, perfume, seris, splendor, birthday, wedding, party, gift"
Personal Care > Bath & Body (Soaps),2,223.5,2,1,"personal care, bath, body (soaps), soap, mounted, light, luxury, holder, punch, drain"
Pets & Animals > Livestock Feed & Supplements > Poultry Supplements,2,248.5,2,0,"pets, animals, livestock feed, supplements, poultry supplements, healer, height, grow, powder, natural"
Tools & DIY > Hand Tools > Screwdrivers,2,789.0,2,1,"diy, hand tools, screwdrivers, screwdriver, intelligent, photometer, test, voltage, detector, voltmeter"
Travel & Outdoor > Camping Gear,2,1112.0,2,0,"travel, outdoor, camping gear, folding, camping, hand, pruning, blades, efficient, chip"
Automotive > Oils & Lubricants > Brake Fluid,1,2165.0,1,1,"oils, lubricants, brake fluid, three, guys, radiator, coolant, grade, engine, german"
Beauty & Cosmetics > Lip Products (Balm),1,312.0,1,0,"cosmetics, lip products (balm), brush, hydrating, liquid, gloss, finish, nourishing, formula, shades"
Bedding & Linen > Comforters & Quilts,1,1533.0,1,1,"bedding, linen, comforters, quilts, sitter, seat, cushion, sitting, chair, pads"
Cleaning & Organization > Mops,1,970.0,1,0,"cleaning, organization, mops, royal's, triangle, shaped, microfiber, self-wringing, floor, dust"
Cleaning & Organization > Shoe Racks & Hangers,1,593.0,1,1,"cleaning, organization, shoe racks, hangers, transparent, storage, shoe, cabinet, moisture, protection"
Electronics & Appliances > Computers & Laptops > External Hard Drives & USBs,1,606.0,1,0,"computers, laptops, external hard drives, usbs, bluetooth, dongle, ultra-compact, plug, play, windows"
Electronics & Appliances > Gadgets > Smart Home Devices (Plugs,1,550.0,1,0,"gadgets, smart home devices (plugs, hand, press, tich, button, machine, snap, pliers, brand-new"
Fashion & Apparel > Women's Fashion > Sneakers & Trainers,1,312.0,1,1,"women's fashion, sneakers, trainers, socks, ankle, ladies, wear, seasons, blend, step"
Grooming Products > Brushes,1,250.0,1,0,"grooming products, brushes, royal's, mesh, bath, sponge, loofah, exfoliating, scrubber, royal"
Health & Beauty > Beauty & Cosmetics > Nail Care (Polish),1,759.0,1,1,"cosmetics, nail care (polish), multicolor, false, nails, parties, nail, designs, glue, apply"
Health & Wellness > First Aid & Medical Devices,1,831.0,1,1,"wellness, first aid, medical devices, rechargeable, electric, pedi, foot, filer, powerful, callus"
